PERMNO,QNO,MOM_RANK,FRET1
10037,56.0,4,0.1155633903759998
10037,57.0,4,-0.020449181180274
10037,58.0,5,0.04891377374864
10037,59.0,5,-0.0633976816361343
10037,60.0,6,0.0606059368570999
10037,61.0,4,0.0934921245816959
10037,62.0,4,0.2310262581314501
10037,63.0,6,0.123930351579
10037,64.0,7,-0.0259731343849181
10037,65.0,6,-0.1203842343909999
10037,66.0,4,-0.0180943634270609
10037,67.0,2,0.1520737004668353
10037,68.0,2,0.2119243508596671
10037,69.0,5,0.060290873491771
10037,70.0,7,0.1534323776600399
10037,71.0,7,0.1034925064359113
10037,72.0,7,-0.0407087377581685
10037,73.0,3,-0.018786661948
10037,74.0,4,-0.3281241382064825
10037,75.0,2,0.0182935340208054
10037,76.0,1,-0.0736845018002647
10037,77.0,2,0.0818793513214999
10037,78.0,1,-0.3203903586395762
10037,79.0,0,0.3301565996312257
10037,80.0,3,-0.1048496479098002
10037,81.0,2,-0.0510736132869599
10037,82.0,2,0.07953449289312
10037,83.0,5,0.3684477385184863
10038,29.0,1,0.1475401868481247
10038,30.0,3,-0.2857143651976209
10038,31.0,1,0.019999745
10038,32.0,3,0.0196081228069999
10038,33.0,4,2.371795000399857e-07
10039,54.0,9,0.1428561834519894
10039,55.0,9,0.208333344086
10039,70.0,8,-0.0681816340908999
10039,71.0,3,-0.024390685936
10039,72.0,5,0.1500001410713749
10039,73.0,6,0.0652167771739999
10039,74.0,3,0.2474496772959999
10039,75.0,9,0.1779152552799856
10039,76.0,9,0.6388891170171331
10039,77.0,9,0.2711872543531004
10039,78.0,9,0.2266661651024
10039,79.0,9,0.173912840249
10039,80.0,9,0.587963468886159
10039,81.0,8,-0.5962100823252918
10039,82.0,4,0.501805317021
10039,83.0,5,-0.2307699925078039
10043,29.0,5,0.155555284127
10043,30.0,8,0.2307682071994736
10043,31.0,8,-0.156249689903875
10043,32.0,8,0.027777973129772
10043,33.0,8,4.069488075408856e-07
10043,34.0,6,0.1272728258458311
10043,35.0,6,-0.0483878335503046
10043,36.0,3,-0.0155933679999998
10043,37.0,4,0.0260869999999999
10043,38.0,4,-0.0423723940192466
10043,39.0,1,-0.0884951572084999
10043,40.0,1,-0.1133982905144885
10043,41.0,1,-0.0888890861111498
10043,42.0,1,-0.02439031707325
10043,43.0,3,-3.514331001763793e-07
10043,44.0,3,0.2935002069599999
10043,45.0,6,-0.0980390279840001
10043,46.0,6,-0.2173918106417193
10043,47.0,1,-0.0277786637126937
10043,48.0,0,0.2228568496962812
10043,49.0,1,-0.023808925044
10043,50.0,2,0.073170742314
10043,51.0,6,0.0227264664995741
10043,52.0,6,-0.0248887086919999
10043,53.0,3,0.2325586303432549
10043,54.0,5,0.1698117396887193
10043,55.0,6,0.1532254773926618
10043,56.0,8,-0.1334271861172729
10043,57.0,8,0.0327873499999999
10043,58.0,6,-0.0317462783216112
10043,59.0,4,0.0163929841269907
10043,60.0,3,-0.1767740799999999
