PERMNO,mean_size,num_obs
11194,30592.813986666664,12
11197,108860.8359375,8
11198,258903.3,5
11203,171195.08333333334,12
11208,208266.77604166666,12
11214,77428.0,3
11216,67441.04947916667,12
11230,78911.57291666667,12
11246,119947.49479166667,12
11262,10182.985795454546,11
11267,233428.42708333334,12
11277,234669.95833333334,12
11278,174214.54166666666,12
11285,90411.84375,12
11291,452702.2135416667,12
11293,431535.5885416667,12
11306,52341.515625,12
11308,136999760.13541666,12
11318,31409.479166666668,12
11340,5312904.9875,10
11343,98476.13541666667,12
11347,1919089.6041666667,12
11348,48010.5,12
11353,415050.3783166667,12
11362,28792.25,1
11369,836923.6666666666,12
11371,1644586.5572916667,12
11373,9813.76171875,8
11378,264359.6510416667,12
11381,667681.4427083334,12
11382,1566093.4635416667,12
11384,528163.6197916666,12
11389,410342.8177083333,12
11393,69659.25892857143,7
11397,169042.69791666666,12
11402,,0
11403,5288345.385416667,12
11404,6980406.114583333,12
11406,526889.3645833334,12
11414,,0
11415,1677120.1927083333,12
11425,209933.23214285713,7
11426,133718.375,12
11441,14230.09375,10
11442,149287.57291666666,12
11449,83967.97916666667,12
11478,350869.9166666667,12
11481,94239.16071428571,7
11483,233067.272305,12
11484,,0
11485,114006.27604166667,12
11486,28998.125,1
11490,103242.38020833333,12
11493,52270.510416666664,12
11506,24231.5546875,12
11509,458161.203125,12
11510,32963.239583333336,12
11511,,0
11513,65985.54947916667,12
11522,667970.984375,8
11531,872829.28125,12
11533,636992.5364583334,12
11545,42717.125,2
11547,307969.5885416667,12
11552,3283882.6458333335,12
11565,,0
11574,124624.84895833333,12
11581,1172349.7232142857,7
11587,25473.125,12
11599,361832.921875,8
11600,1647949.9583333333,12
11607,3556130.9427083335,12
11614,120469.52083333333,3
11618,2103045.7135416665,12
11624,50354.020833333336,12
11625,7226.90625,12
11628,224471.796875,12
11631,135349.15104166666,12
11634,425000.5026041667,12
11638,19811.302083333332,12
11643,157855.03125,12
11644,243274.26388888888,9
11647,18785.734375,12
11652,32525.208333333332,12
11653,1143706.1180555555,9
11656,27324.3203125,8
11662,,0
11665,407176.171875,12
11671,94619.75,4
11674,4890430.645833333,12
11678,465132.9791666667,12
11689,194737.03125,1
11691,965442.4375,12
11701,102626.83854166667,12
11703,49686454.708333336,12
11705,27797.583333333332,12
11707,1034871.8333333334,12
11713,130701.39583333333,12
11723,467606.9479166667,12
11728,15784.61875,10
11731,333441.5,12
11739,,0
11745,13228.606770833334,12
11748,66561.96875,12
11750,123732.63020833333,12
11752,250541.18151000002,12
11754,16378360.901041666,12
11760,106853.40340909091,11
11761,2224726.375,12
11762,5205264.989583333,12
11775,46754.427083333336,12
11781,94980.64583333333,6
11785,162420.41145833334,12
11786,1880637.2260883332,12
11790,113967.07291666667,12
11796,45275.5,1
11803,78941.09375,8
11808,349943.5364583333,12
11823,417300.15625,12
11825,200251.640625,12
11839,14241.75,12
11844,190086.34375,12
11845,525646.9270833334,12
11847,14444.666666666666,12
11850,287213318.4010417,12
11851,64300.692708333336,12
11853,44568.125,6
11866,81022.359375,12
11873,87454.375,1
11874,,0
11884,94529.0625,12
11891,4382674.072916667,12
11895,418080.0546875,8
11896,18459153.265625,12
11898,,0
11899,27474.40625,12
11903,44669.175,10
11908,770924.5875,10
11910,75225.91666666667,3
